Title,default,default_short,stability,technical
Giant ant,"This creature is a colossal insect, standing as tall as a human with a glossy black exoskeleton. Its large mandibles are sharp and menacing, and it has six long, segmented legs each ending in a pointed foot. Its antennae twitch in the air, sensing its surroundings, and its compound eyes glint with a predatory intelligence.","This creature is an oversized, menacing ant with a shiny, black exoskeleton and large, powerful mandibles. Its six segmented legs and two antennae twitch with a sense of alertness and its abdomen is disproportionately large, giving it a fearsome appearance.","A giant ant from the game NetHack is a large, intimidating insect with a segmented body. It has a dark red or brown color, with sharp, protruding mandibles and six long, jointed legs. The ant also has two antennae and a pointed abdomen.","The object is a large, six-legged insect-like figure with a segmented body, divided into a head, thorax, and abdomen. It features two large, curved antennae protruding from the head and a set of mandibles. It is entirely monochromatic, presented in a dark, almost black, shade of grey."
Killer bee,"This creature is a small insect with a sleek, black and yellow striped body. It has two translucent wings, six spindly legs, and a pair of antennae. Its most prominent feature is a sharp, venomous stinger protruding from its rear.","This creature is a small, flying insect with a black and yellow striped abdomen, two transparent wings, and a prominent stinger. Its body is sleek and elongated, with six thin legs and a pair of antennae on its head.","A small, oval-shaped insect with a sharp, pointed stinger at the rear. It has a yellow and black striped body, indicative of its dangerous nature. The bee has two translucent wings on its back and two small antennae on its head.","The object is a small, winged insect-like figure, displayed as a 'b' character in the ASCII version of the game. It is primarily black, with yellow stripes across its body, mimicking the pattern of a real-world bee. It has a pair of antennae and a pointed stinger at the end of its segmented body."
Soldier ant,"This creature is a robust, medium-sized ant with a deep red exoskeleton. It possesses large, powerful mandibles and a pair of antennae that constantly move, scanning its surroundings. Despite its small size, its stance and movements exude a sense of alertness and readiness for combat.","This creature is a large, reddish-brown ant with formidable mandibles and a hardened exoskeleton. It stands upright on its six segmented legs, displaying a pair of antennae and a menacing, aggressive posture.","A Soldier Ant from the game NetHack is a small, six-legged insect with a distinct segmented body. It is primarily black in colour with a glossy finish. The ant's defining features include its large mandibles, antennae, and a sturdy thorax.","This object appears as a small, pixelated figure, roughly ant-shaped and compact with a segmented body. It has six short legs and a pair of antennae protruding from its head. It is uniformly black in color."
Fire ant,"This creature is a small, vibrant red insect, known for its distinctive segmented body and sharp pincers. It has a pair of thin, translucent wings that flicker with an inner flame. Its abdomen, unlike a regular ant, appears to glow from within, as if it contains a fiery core.","This creature is a small, vibrant red ant with an oversized abdomen, emitting a faint glow due to its fiery nature. Its mandibles appear particularly sharp and its legs are sturdy, built for both combat and rapid movement.","A small, six-legged insect creature from the game NetHack, the Fire ant is fiery red in color. It has two antennae on its head and a segmented body. It's known for its aggressive behavior and ability to breathe fire.","The object is small and segmented, resembling an ant with a distinct head, thorax, and abdomen. It is depicted in a vibrant, fiery red hue. It has six thin legs and two antennae, all of which are the same bright red color."
Giant beetle,"This creature is a colossal insect with a hard, glossy exoskeleton that gleams darkly under light. Its six spindly legs are attached to a segmented body, featuring a pair of robust mandibles and two antennae on its head. Its shell is domed and segmented, resembling a natural armor, and it carries an intimidating presence with its large size.","This creature is an enormous, six-legged insect with a glossy, dark exoskeleton and large, powerful mandibles. Its body is segmented with two prominent antennae on its head and a pair of hard, shell-like wings on its back.","A large, intimidating beetle with a hard, shiny black exoskeleton. It has a pair of robust, powerful mandibles and six legs, each ending in sharp claws. Its wings are folded neatly on its back, with a hint of iridescence.","The object is a large, six-legged creature with a pair of long, curved antennae and a robust, segmented body. It has a glossy, dark-brown carapace that is almost black, which is divided into two main parts: a smaller section for the head and thorax, and a larger one for the abdomen. Its body is oval-shaped and heavily armored, with a noticeable sheen, and it has a pair of large, powerful mandibles at the front."
Queen bee,"This creature is a large, robust insect with a golden-yellow and black striped abdomen, a set of translucent wings, and a distinctive pointed stinger. Its body is segmented into three parts: the head, thorax, and a particularly elongated abdomen. Its head features two large, compound eyes and a pair of antennae.","This entity is a large, robust insect with a distinct yellow and black striped abdomen, two transparent wings, and six legs. It possesses a prominent, pointed stinger at the end of its body.","The Queen bee is a small, oval-shaped object, predominantly yellow in color. It features two black stripes on its body, two transparent wings, and a pointed stinger at the end. The Queen bee is distinctive for its crown-like structure on top of its head.","This object is a small, round entity with a pointed end, resembling the typical shape of a bee. It is primarily yellow in colour, with black stripes around its body to mimic the appearance of a real queen bee. The object also features two small, black antennae and a pair of wings on its back."
Acid blob,"This entity appears as a semi-transparent, gelatinous mass with a greenish hue, constantly shifting and undulating. Its surface glistens with a corrosive substance that seems to eat away at anything it touches. Despite its lack of discernible features, it gives off an unsettling aura, as if aware and purposeful.","This entity appears as a semi-transparent, amorphous blob with a constantly shifting surface, emitting a faint greenish glow. Its gelatinous body seems to ripple and bubble, hinting at the corrosive acid contained within.","A round, jelly-like creature that is bright green in color, resembling a blob of acid. It has a semi-transparent body with a glossy surface that appears to be constantly shifting and bubbling. The blob lacks any distinct features such as eyes or limbs.","This object appears as a pulsating, semi-transparent sphere with a slightly irregular shape, hinting at its gelatinous nature. Its color fluctuates between various shades of green, from bright neon to deep forest, indicating its corrosive nature. It is devoid of any carried items or additional appendages, maintaining a simple, rounded form."
Quivering blob,"This entity appears as a gelatinous, semi-transparent mass, constantly in motion with an unsettling, pulsating rhythm. Its form is amorphous and ever-changing, making it difficult to discern any distinct features. Its surface shimmers with a slick sheen, reflecting light in odd, unpredictable patterns.","The entity appears as a pulsating, gelatinous mass, constantly changing in size and shape, with a translucent and slimy surface. Its color fluctuates between various shades of green and yellow.","A quivering blob from the game NetHack is a semi-transparent, jelly-like entity with an amorphous, constantly shifting form. It is primarily light green in color with a shiny, gelatinous texture. It lacks any distinct features such as eyes, mouth, or limbs.","This object appears as a pulsating, amorphous mass with no distinct shape or edges. Its semi-translucent body exudes a sickly greenish-yellow hue. Despite its constant movement, it maintains a relatively compact size, never growing too large or shrinking too small."
Gelatinous cube,"This entity appears as a large, transparent cube that shimmers slightly, making it difficult to discern unless closely observed. Despite its seemingly soft and jelly-like texture, it maintains a perfect cubic form, with each side measuring approximately the height of an average human. Within its clear, gelatinous body, one can occasionally see the remnants of its previous meals, like bones or pieces of equipment, suspended as if in amber.","This entity appears as a large, transparent cube of jelly-like substance, which engulfs anything it comes into contact with. Despite its simple, amorphous shape, it's surprisingly menacing due to its size and the eerie way it moves.","A Gelatinous cube is a large, transparent cube with a gel-like consistency from the game NetHack. It is completely clear, making it almost invisible, with the only hint of its presence being the occasional shimmer or the floating items it has engulfed. It's a perfect cube, measuring the same size on all sides.","The object is a perfectly symmetrical, translucent cube with a slightly bluish tint. It has a smooth, jelly-like surface that seems to undulate slightly, giving it a pulsating appearance. The cube is completely solid and featureless, without any visible appendages or facial features."
Chickatrice,"This creature appears as a small, feathered bird, resembling a cross between a chicken and a basilisk. Its beady eyes hold an eerie, petrifying gaze, and its beak is sharp and pointed. It possesses a pair of wings, and its body is covered in an array of plumage that ranges from grey to white.","This creature appears as a small bird with the body of a chicken and the head of a cockatrice, featuring a beak, crest, and wattles. Its feathers are primarily white, but its head, neck, and tail have green scales, and it has sharp talons on its feet.","A Chickatrice is a small, bird-like creature from NetHack. It has a combination of chicken and basilisk features, with a predominantly yellow body, a pair of wings, sharp claws, and a snake-like tail. Its most defining characteristic is its gaze, which is said to turn beings into stone, so depict it with intense, glowing eyes.","The object is a small, two-legged creature with a compact body shape, bearing a resemblance to a hybrid between a chicken and a basilisk. It is predominantly yellow in colour, with hints of grey on its wings and tail. It has a pair of small, beady red eyes and a sharp, pointed beak."
Cockatrice,"Resembling a grotesque blend of bird and reptile, this creature boasts a rooster's body with scales instead of feathers, and a lizard-like tail. Its beady eyes are surrounded by a crown of spiky scales, adding to its menacing look. It possesses a pair of bat-like wings and sharp talons, both equally deadly.","This creature appears as a small, grotesque bird with bat-like wings, reptilian scales, and a rooster's head. Its most distinctive feature is its eyes, which are large, glowing, and hypnotic.","A Cockatrice from NetHack is a small, bird-like creature with reptilian features. It has bright yellow scales, a pair of bat-like wings, and a long tail. Its most defining characteristic is its gaze, which is known to turn things into stone.","The object is a small, bird-like creature with a lizard's tail, standing on two clawed feet. Its body is covered in scales and feathers, both of which are a dull, greyish-brown colour. It has a sharp beak, a pair of wings folded at its sides, and its eyes are small and bead-like."
